id;date;kto_from;kto_to;description;amount;currency_symbol
6926;01.01.2011 21:26:39;1536;1552;Schnee;1,5;Tt.
6930;04.01.2011 14:57:59;5056;1562;für Waffeln beim Treffen am 7.12.2010  danke;1;Tt.
6946;04.01.2011 21:47:59;5056;1602;Für Raumbenützung und Bewirtung  am 4. 1.  danke;2;Tt.
6948;05.01.2011 11:25:35;1420;3323;verschiedene Salben;6,3;Tt.
7264;06.01.2011 10:08:22;1377;1170;Für Äpfel;1;Tt.
7272;07.01.2011 23:06:14;999;1714;Manuelle Rückbuchung;1,25;Tt.
7274;07.01.2011 23:09:30;999;1420;Manuelle Rückbuchung da Kernteam;1,25;Tt.
7275;07.01.2011 23:10:45;999;1542;Manuelle Rückbuchung, da Kernteam (Obmann);1,25;Tt.
7283;07.01.2011 23:19:35;999;1052;Manuelle Rückbuchung, da Kernteam;1,25;Tt.
7284;07.01.2011 23:20:32;999;1619;Manuelle Rückbuchung;1,25;Tt.
7286;07.01.2011 23:22:58;999;1652;Manuelle Rückbuchung;1,25;Tt.
7287;07.01.2011 23:24:03;999;1597;Manuelle Rückbuchung;1,25;Tt.
7290;07.01.2011 23:47:44;999;3205;Manuelle Rückbuchung;1,25;Tt.
7292;10.01.2011 09:54:12;1330;1668;Raumkosten für Tarot-Abend;2;Tt.
7293;10.01.2011 22:31:22;1515;1667;Massage am 10.1.2011, danke;2;Tt.
7294;10.01.2011 22:32:47;1298;1667;Massage am 10.1.2011;1;Tt.
7299;12.01.2011 00:22:44;1667;1665;Hilfe bei Ofenbau - danke!!!;4;Tt.
7300;12.01.2011 14:21:37;1515;1604;danke für deinen super guten Kuchen;1;Tt.
7303;13.01.2011 21:09:26;3026;1620;Sitzung Daniel;2;Tt.
7304;13.01.2011 21:42:18;1650;1295;eine entspannende massage;2;Tt.
7306;15.01.2011 16:14:11;1604;1663;Kräutersalz Tauschtreffen Jänner 2011;0,5;Tt.
7308;15.01.2011 16:18:43;1515;9842;Frischkäse, 2 x Apfelsaft (Tauschtreffen Jänner 2011);0,6;Tt.
7309;15.01.2011 16:20:55;9842;1515;2 x Balsam (Tauschtreffen Jänner 2011);1,2;Tt.
7312;15.01.2011 16:27:29;9842;1515;Kräutersalz (Tauschtreffen Jänner 2011);0,6;Tt.
7313;15.01.2011 16:29:03;1295;9842;2 x Apfelsaft (Tauschtreffen Jänner 2011);0,3;Tt.
7314;15.01.2011 16:31:12;1665;1515;4 x Mixed Pickles (Tauschtreffen Jänner 2011);1,6;Tt.
7315;15.01.2011 16:32:35;1665;1515;Bärlauch Pesto (Tauschtreffen Jänner 2011);0,7;Tt.
7316;15.01.2011 16:33:35;1665;1515;Balsam und Öl (Tauschtreffen Jänner 2011);1,4;Tt.
7318;15.01.2011 16:56:27;9842;10239;"Bio-Rooibos Tee 0,13 Tt
2 x Schokolade 0,19 Tt
Grüntee Gunpowder 0,23 Tt
Reis 0,13 Tt
(Tauschtreffen Jänner 2011)";0,68;Tt.
7319;15.01.2011 16:58:00;1665;9842;Bergkäse und Frischkäse (Tauschtreffen Jänner 2011);1,5;Tt.
7320;15.01.2011 17:03:22;3536;10239;Schokolade 0,1 Tt + Reis 0,13 Tt (Tauschtreffen Jänner 2011);0,23;Tt.
7321;15.01.2011 21:33:51;1505;1668;danke für den interessanten abend!;1;Tt.
7322;16.01.2011 08:31:46;1295;1420;Danke für die Hilfe im Haushalt am 13.01.2011! Es war schön heimzukommen und die Wohnung ist sauber und duftet.;1,7;Tt.
7323;16.01.2011 16:07:25;1298;1650;Kufsteintreffen 15.1.2011, Milchprodukte;2,7;Tt.
